b010 WMI_ROAM_BTM_CONFIG_CMDID
28002 WMI_NAN_DISC_IFACE_CREATED_EVENTID
3e008 WMI_TWT_BTWT_REMOVE_STA_COMPLETE_EVENTID
24002 WMI_RMC_SET_ACTION_PERIOD_CMDID
24003 WMI_RMC_CONFIG_CMDID
28003 WMI_NAN_DISC_IFACE_DELETED_EVENTID
24004 WMI_RMC_SET_MANUAL_LEADER_CMDID
28004 WMI_NAN_STARTED_CLUSTER_EVENTID
28005 WMI_NAN_JOINED_CLUSTER_EVENTID
20 WMI_GRP_TDLS
21 WMI_GRP_RESMGR
25 WMI_GRP_MHF_OFL
26 WMI_GRP_LOCATION_SCAN
27 WMI_GRP_OEM
28 WMI_GRP_NAN
29 WMI_GRP_COEX
25001 WMI_MHF_OFFLOAD_SET_MODE_CMDID
25002 WMI_MHF_OFFLOAD_PLUMB_ROUTING_TBL_CMDID
29003 WMI_COEX_CONFIG_CMDID
29004 WMI_CHAN_AVOID_RPT_ALLOW_CMDID
29005 WMI_COEX_GET_ANTENNA_ISOLATION_CMDID
29006 WMI_SAR_LIMITS_CMDID
29007 WMI_SAR_GET_LIMITS_CMDID
2a WMI_GRP_OBSS_OFL
2b WMI_GRP_LPI
2c WMI_GRP_EXTSCAN
2d WMI_GRP_DHCP_OFL
2e WMI_GRP_IPA
2f WMI_GRP_MDNS_OFL
4011 WMI_PDEV_SET_LED_FLASHING_CMDID
4012 WMI_PDEV_SMART_ANT_ENABLE_CMDID
4013 WMI_PDEV_ANTDIV_STATUS_EVENTID
4014 WMI_PDEV_SET_ANTENNA_SWITCH_TABLE_CMDID
4015 WMI_PDEV_SET_CTL_TABLE_CMDID
4016 WMI_PDEV_CSA_SWITCH_COUNT_STATUS_EVENTID
4018 WMI_PDEV_GET_ANI_CCK_CONFIG_CMDID
4019 WMI_PDEV_GET_ANI_OFDM_CONFIG_CMDID
5010 WMI_VDEV_GET_MWS_COEX_ANTENNA_SHARING_STATE_EVENTID
5011 WMI_VDEV_PLMREQ_STOP_CMDID
5012 WMI_VDEV_DELETE_ALL_PEER_RESP_EVENTID
5013 WMI_VDEV_SET_IE_CMDID
5014 WMI_VDEV_RATEMASK_CMDID
5015 WMI_VDEV_ATF_REQUEST_CMDID
5016 WMI_VDEV_SET_DSCP_TID_MAP_CMDID
5017 WMI_VDEV_FILTER_NEIGHBOR_RX_PACKETS_CMDID
5018 WMI_VDEV_SET_QUIET_MODE_CMDID
5019 WMI_VDEV_SET_CUSTOM_AGGR_SIZE_CMDID
c001 WMI_OFL_SCAN_ADD_AP_PROFILE
c002 WMI_OFL_SCAN_REMOVE_AP_PROFILE
c003 WMI_OFL_SCAN_PERIOD
401a WMI_PDEV_UPDATE_CTLTABLE_EVENTID
401b WMI_PDEV_GET_TPC_CMDID
401c WMI_MIB_STATS_ENABLE_CMDID
401d WMI_PDEV_SET_PCL_CMDID
401e WMI_PDEV_SET_HW_MODE_CMDID
6010 WMI_PEER_RESERVED4_EVENTID
401f WMI_PDEV_SET_MAC_CONFIG_CMDID
6011 WMI_PEER_RESERVED5_EVENTID
6012 WMI_PEER_RESERVED6_EVENTID
6013 WMI_PEER_RESERVED7_EVENTID
6015 WMI_PEER_RESERVED9_EVENTID
1d020 WMI_GET_CHANNEL_ANI_EVENTID
6016 WMI_PEER_ANTDIV_INFO_REQ_CMDID
6018 WMI_PEER_TID_MSDUQ_QDEPTH_THRESH_UPDATE_CMDID
6019 WMI_PEER_CFR_CAPTURE_EVENTID
43002 WMI_AUDIO_AGGR_ADD_GROUP_CMDID
43003 WMI_AUDIO_AGGR_DEL_GROUP_CMDID
43004 WMI_AUDIO_AGGR_SET_GROUP_RATE_CMDID
43005 WMI_AUDIO_AGGR_SET_GROUP_RETRY_CMDID
d001 WMI_P2P_DISC_EVENTID
d002 WMI_P2P_DEV_SET_DISCOVERABILITY
d003 WMI_P2P_LISTEN_OFFLOAD_STOPPED_EVENTID
d004 WMI_P2P_GO_SET_PROBE_RESP_IE
d005 WMI_P2P_SET_VENDOR_IE_DATA_CMDID
d006 WMI_P2P_DISC_OFFLOAD_CONFIG_CMDID
